intervalo,viajes_originados_n1,viajes_demandados_n1,viajes_originados_n2,viajes_demandados_n2,viajes_originados_n3,viajes_demandados_n3,viajes_originados_n4,viajes_demandados_n4,viajes_originados_n5,viajes_demandados_n5,viajes_originados_n6,viajes_demandados_n6,viajes_originados_n7,viajes_demandados_n7,viajes_originados_n8,viajes_demandados_n8
07:00 - 07:10,18,35,58,21,25,60,0,67,56,11,11,15,3,2,8,49
07:10 - 07:20,7,12,36,34,33,52,13,55,44,12,5,8,0,10,20,58
07:20 - 07:30,9,13,30,31,25,64,1,62,20,13,6,12,2,11,27,49
07:30 - 07:40,4,37,42,22,18,92,1,53,18,4,6,12,3,6,20,58
07:40 - 07:50,25,31,16,23,17,40,8,76,28,17,5,6,10,10,16,56
07:50 - 08:00,4,21,39,31,26,46,10,59,25,11,3,7,7,10,7,53
08:00 - 08:10,0,0,43,20,18,38,6,59,12,15,11,11,2,1,5,25
08:10 - 08:20,9,23,28,27,15,51,14,64,13,16,7,8,2,16,21,96
08:20 - 08:30,20,28,54,23,32,53,10,38,28,14,6,4,4,4,27,50
08:30 - 08:40,13,34,42,21,27,70,15,50,26,6,10,9,0,6,23,86
08:40 - 08:50,7,18,42,19,31,71,7,43,54,24,10,11,3,3,15,101
08:50 - 09:00,13,27,28,15,43,72,13,37,50,13,6,4,4,3,15,105
09:00 - 09:10,13,11,54,29,51,100,10,17,25,17,6,7,0,0,15,101
09:10 - 09:20,17,24,35,24,19,63,13,47,5,3,3,0,3,11,36,67
09:20 - 09:30,17,16,20,33,36,35,23,24,28,21,3,6,0,0,51,131
09:30 - 09:40,0,18,38,31,25,50,17,34,37,24,7,10,3,13,20,26
09:40 - 09:50,11,9,22,38,22,71,15,21,29,8,6,10,1,1,39,119
09:50 - 10:00,13,14,41,32,31,61,9,24,12,12,1,3,0,5,32,43
10:00 - 10:10,2,7,42,36,20,59,8,25,17,9,4,8,4,16,17,99
10:10 - 10:20,12,6,26,28,15,35,9,19,19,13,1,1,3,5,8,55
10:20 - 10:30,18,20,30,16,35,45,9,17,20,15,0,2,2,4,56,139
10:30 - 10:40,0,11,37,18,21,57,7,22,19,21,8,8,0,0,27,65
10:40 - 10:50,33,39,41,20,39,74,3,8,19,9,9,11,3,2,41,47
10:50 - 11:00,0,0,32,14,29,99,10,16,28,29,17,10,0,7,14,41
11:00 - 11:10,5,33,16,23,34,68,10,15,17,5,16,6,0,0,23,27
11:10 - 11:20,1,16,32,27,31,75,12,19,35,11,12,15,4,11,6,31
11:20 - 11:30,19,31,19,23,43,58,4,16,28,2,8,18,0,0,58,37
11:30 - 11:40,6,22,35,25,41,37,14,26,26,4,10,7,0,0,27,58
11:40 - 11:50,17,31,19,15,29,33,14,18,23,10,13,12,2,3,55,25
11:50 - 12:00,0,0,18,20,30,36,10,11,14,6,14,16,3,6,71,40
12:00 - 12:10,4,22,37,22,22,42,5,19,21,2,33,25,1,7,115,66
12:10 - 12:20,7,40,37,26,54,40,12,19,9,6,5,5,1,9,53,25
12:20 - 12:30,4,8,33,20,49,40,10,6,10,5,14,10,0,3,70,51
12:30 - 12:40,5,21,16,37,58,34,9,2,12,6,8,6,0,2,78,49
12:40 - 12:50,11,26,36,34,50,35,11,13,17,12,13,10,8,3,64,24
12:50 - 1:00,6,34,37,12,60,41,5,5,21,16,4,7,4,3,46,32
01:00 - 01:10,3,15,25,32,41,42,4,2,30,16,22,29,3,8,50,15
01:10 - 01:20,11,19,18,41,34,31,11,8,17,7,5,5,7,17,65,32
01:20 - 01:30,0,0,22,19,44,51,6,10,39,5,6,6,1,1,73,74
01:30 - 01:40,1,26,21,14,48,43,6,17,24,10,1,7,6,13,46,14
01:40 - 01:50,5,9,9,18,38,59,8,16,12,2,10,1,9,15,29,86
01:50 - 02:00,1,4,8,21,66,47,1,14,22,5,1,3,3,11,38,60
02:00 - 02:10,0,5,7,22,40,40,0,1,20,8,0,4,2,11,4,25
02:10 - 02:20,6,22,13,25,18,31,7,15,16,11,3,5,7,4,34,40
02:20 - 02:30,10,9,16,4,38,47,2,2,4,20,4,2,0,0,37,36
02:30 - 02:40,7,12,28,12,33,39,13,12,20,15,3,1,7,6,76,50
02:40 - 02:50,6,27,14,30,30,57,4,13,32,17,3,4,1,12,11,23
02:50 - 003:00,0,9,28,13,38,28,1,6,20,21,3,2,0,3,24,31
03:00 - 03:10,9,23,18,20,29,25,9,11,14,14,0,7,4,1,29,52
03:10 - 03:20,0,0,15,11,32,35,8,11,26,13,14,0,5,8,12,33
03:20 - 03:30,2,19,11,9,25,36,0,0,11,5,0,0,3,6,12,29
03:30 - 03:40,0,0,20,15,44,34,3,8,14,11,3,3,0,11,18,32
03:40 - 03:50,8,29,29,9,35,22,6,22,11,4,23,6,0,9,23,27
03:50 - 04:00,12,24,27,17,38,29,7,12,12,0,12,5,8,11,36,34
04:00 - 04:10,14,29,39,8,35,27,4,3,5,4,21,2,0,0,34,37
04:10 - 04:20,18,50,42,6,36,32,15,13,19,12,3,12,6,4,12,23
04:20 - 04:30,15,29,26,12,33,39,6,3,9,8,0,1,2,6,22,15
04:30 - 04:40,22,35,28,8,65,76,10,16,10,10,9,12,4,0,14,5
04:40 - 04:50,3,8,14,14,33,50,12,8,13,5,14,8,1,2,23,15
04:50 - 05:00,2,14,28,13,34,51,12,4,8,15,5,9,0,11,16,14
05:00 - 05:10,14,24,18,18,43,44,12,2,11,4,8,5,0,5,46,19
05:10 - 05:20,0,0,33,17,31,41,9,9,2,4,28,1,6,7,31,9
05:20 - 05:30,22,26,24,10,45,37,17,4,6,6,27,6,3,2,43,10
05:30 - 05:40,19,25,16,15,45,36,10,3,9,3,12,5,8,3,40,13
05:40 - 05:50,24,24,16,8,51,41,6,4,3,17,15,6,6,4,62,7
05:50 â€“ 06:00,23,24,24,4,53,38,14,0,16,3,0,6,3,9,68,5
